Time,CORE_ZN ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.816236E+02,2.704885E+03,1.295419E-02,2.385219E-01,1.268566E+03,2.274537E+03,4.306107E-02,2.005885E-01,7.880637E+02,1.389588E+03,2.675054E-02,1.225467E-01,1.192159E+03,2.271030E+03,4.046746E-02,2.002791E-01,7.918198E+02,1.478373E+03,2.687804E-02,1.303760E-01
00:20:00,3.816239E+02,2.699072E+03,1.295420E-02,2.380093E-01,1.268569E+03,2.262709E+03,4.306115E-02,1.995455E-01,7.880651E+02,1.381709E+03,2.675059E-02,1.218519E-01,1.192162E+03,2.258333E+03,4.046754E-02,1.991595E-01,7.918212E+02,1.466117E+03,2.687809E-02,1.292953E-01
00:30:00,3.816242E+02,2.693459E+03,1.295421E-02,2.375144E-01,1.268571E+03,2.251242E+03,4.306122E-02,1.985343E-01,7.880663E+02,1.374073E+03,2.675063E-02,1.211785E-01,1.192164E+03,2.246077E+03,4.046761E-02,1.980787E-01,7.918224E+02,1.454380E+03,2.687813E-02,1.282602E-01
00:40:00,3.816245E+02,2.688030E+03,1.295422E-02,2.370357E-01,1.268573E+03,2.240115E+03,4.306128E-02,1.975531E-01,7.880676E+02,1.366666E+03,2.675067E-02,1.205253E-01,1.192166E+03,2.234236E+03,4.046768E-02,1.970345E-01,7.918237E+02,1.443125E+03,2.687817E-02,1.272677E-01
00:50:00,3.816248E+02,2.682773E+03,1.295423E-02,2.365722E-01,1.268575E+03,2.229313E+03,4.306134E-02,1.966004E-01,7.880687E+02,1.359477E+03,2.675071E-02,1.198913E-01,1.192168E+03,2.222787E+03,4.046774E-02,1.960249E-01,7.918248E+02,1.432318E+03,2.687821E-02,1.263147E-01
01:00:00,3.816251E+02,2.677674E+03,1.295424E-02,2.361226E-01,1.268576E+03,2.218818E+03,4.306140E-02,1.956750E-01,7.880698E+02,1.352496E+03,2.675075E-02,1.192757E-01,1.192169E+03,2.211711E+03,4.046780E-02,1.950481E-01,7.918259E+02,1.421930E+03,2.687825E-02,1.253986E-01
01:10:00,3.816254E+02,2.672723E+03,1.295425E-02,2.356860E-01,1.268578E+03,2.208683E+03,4.306145E-02,1.947812E-01,7.880708E+02,1.345752E+03,2.675078E-02,1.186810E-01,1.192171E+03,2.201044E+03,4.046786E-02,1.941075E-01,7.918269E+02,1.411975E+03,2.687828E-02,1.245207E-01
01:20:00,3.816257E+02,2.667911E+03,1.295426E-02,2.352617E-01,1.268579E+03,2.198896E+03,4.306151E-02,1.939182E-01,7.880717E+02,1.339238E+03,2.675081E-02,1.181066E-01,1.192173E+03,2.190770E+03,4.046791E-02,1.932015E-01,7.918278E+02,1.402428E+03,2.687831E-02,1.236789E-01
01:30:00,3.816259E+02,2.663231E+03,1.295427E-02,2.348490E-01,1.268581E+03,2.189450E+03,4.306155E-02,1.930852E-01,7.880726E+02,1.332949E+03,2.675084E-02,1.175519E-01,1.192174E+03,2.180878E+03,4.046796E-02,1.923292E-01,7.918287E+02,1.393273E+03,2.687834E-02,1.228715E-01
01:40:00,3.816262E+02,2.658676E+03,1.295428E-02,2.344473E-01,1.268582E+03,2.180338E+03,4.306160E-02,1.922817E-01,7.880735E+02,1.326879E+03,2.675087E-02,1.170167E-01,1.192176E+03,2.171355E+03,4.046801E-02,1.914895E-01,7.918296E+02,1.384492E+03,2.687837E-02,1.220972E-01
