Time,CORE_ZN ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:MEMPHIS INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MEMPHIS INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.054378E+03,2.677850E+03,3.579079E-02,2.361381E-01,3.065645E+03,2.293996E+03,1.040568E-01,2.023001E-01,1.899303E+03,1.402653E+03,6.446746E-02,1.236959E-01,2.879405E+03,2.284026E+03,9.773528E-02,2.014208E-01,1.899303E+03,1.501502E+03,6.446746E-02,1.324125E-01
00:20:00,1.054380E+03,2.670846E+03,3.579087E-02,2.355205E-01,3.065653E+03,2.279253E+03,1.040571E-01,2.010000E-01,1.899309E+03,1.392747E+03,6.446764E-02,1.228223E-01,2.879413E+03,2.268699E+03,9.773556E-02,2.000692E-01,1.899309E+03,1.487040E+03,6.446764E-02,1.311372E-01
00:30:00,1.054382E+03,2.664089E+03,3.579094E-02,2.349247E-01,3.065661E+03,2.264962E+03,1.040573E-01,1.997398E-01,1.899314E+03,1.383146E+03,6.446780E-02,1.219757E-01,2.879421E+03,2.253895E+03,9.773583E-02,1.987638E-01,1.899314E+03,1.473214E+03,6.446780E-02,1.299181E-01
00:40:00,1.054384E+03,2.657562E+03,3.579102E-02,2.343492E-01,3.065668E+03,2.251098E+03,1.040576E-01,1.985172E-01,1.899318E+03,1.373836E+03,6.446796E-02,1.211547E-01,2.879428E+03,2.239586E+03,9.773608E-02,1.975020E-01,1.899318E+03,1.459978E+03,6.446796E-02,1.287509E-01
00:50:00,1.054386E+03,2.651245E+03,3.579109E-02,2.337922E-01,3.065674E+03,2.237641E+03,1.040578E-01,1.973305E-01,1.899323E+03,1.364802E+03,6.446811E-02,1.203580E-01,2.879435E+03,2.225744E+03,9.773631E-02,1.962813E-01,1.899323E+03,1.447289E+03,6.446811E-02,1.276319E-01
01:00:00,1.054388E+03,2.645124E+03,3.579115E-02,2.332524E-01,3.065681E+03,2.224570E+03,1.040580E-01,1.961779E-01,1.899327E+03,1.356031E+03,6.446825E-02,1.195846E-01,2.879442E+03,2.212345E+03,9.773653E-02,1.950998E-01,1.899327E+03,1.435108E+03,6.446825E-02,1.265578E-01
01:10:00,1.054390E+03,2.639185E+03,3.579122E-02,2.327287E-01,3.065687E+03,2.211951E+03,1.040582E-01,1.950651E-01,1.899331E+03,1.347559E+03,6.446838E-02,1.188375E-01,2.879448E+03,2.199437E+03,9.773674E-02,1.939615E-01,1.899331E+03,1.423451E+03,6.446838E-02,1.255298E-01
01:20:00,1.054392E+03,2.633415E+03,3.579128E-02,2.322200E-01,3.065692E+03,2.199770E+03,1.040584E-01,1.939910E-01,1.899334E+03,1.339376E+03,6.446850E-02,1.181159E-01,2.879454E+03,2.187001E+03,9.773693E-02,1.928649E-01,1.899334E+03,1.412286E+03,6.446850E-02,1.245453E-01
01:30:00,1.054394E+03,2.627808E+03,3.579133E-02,2.317255E-01,3.065698E+03,2.188017E+03,1.040586E-01,1.929545E-01,1.899338E+03,1.331476E+03,6.446862E-02,1.174192E-01,2.879459E+03,2.175022E+03,9.773712E-02,1.918086E-01,1.899338E+03,1.401591E+03,6.446862E-02,1.236022E-01
01:40:00,1.054395E+03,2.622355E+03,3.579139E-02,2.312447E-01,3.065703E+03,2.176685E+03,1.040588E-01,1.919553E-01,1.899341E+03,1.323852E+03,6.446874E-02,1.167469E-01,2.879464E+03,2.163490E+03,9.773729E-02,1.907917E-01,1.899341E+03,1.391345E+03,6.446874E-02,1.226986E-01
