Time,CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.102756E+03,2.467213E+03,3.743298E-02,2.175646E-01,3.511183E+03,1.971082E+03,1.191762E-01,1.738254E-01,2.136662E+03,1.193367E+03,7.252177E-02,1.052409E-01,3.270371E+03,1.949828E+03,1.110026E-01,1.719511E-01,2.159181E+03,1.312651E+03,7.328607E-02,1.157597E-01
00:20:00,1.102759E+03,2.460850E+03,3.743310E-02,2.170036E-01,3.511194E+03,1.956802E+03,1.191766E-01,1.725662E-01,2.136669E+03,1.184268E+03,7.252201E-02,1.044385E-01,3.270382E+03,1.936153E+03,1.110030E-01,1.707452E-01,2.159188E+03,1.298631E+03,7.328631E-02,1.145233E-01
00:30:00,1.102762E+03,2.454700E+03,3.743320E-02,2.164612E-01,3.511204E+03,1.942977E+03,1.191769E-01,1.713470E-01,2.136676E+03,1.175472E+03,7.252223E-02,1.036628E-01,3.270392E+03,1.922955E+03,1.110033E-01,1.695814E-01,2.159194E+03,1.285207E+03,7.328653E-02,1.133396E-01
00:40:00,1.102765E+03,2.448744E+03,3.743331E-02,2.159361E-01,3.511213E+03,1.929599E+03,1.191772E-01,1.701673E-01,2.136682E+03,1.166941E+03,7.252245E-02,1.029105E-01,3.270402E+03,1.910185E+03,1.110036E-01,1.684553E-01,2.159200E+03,1.272340E+03,7.328674E-02,1.122049E-01
00:50:00,1.102768E+03,2.442968E+03,3.743340E-02,2.154267E-01,3.511222E+03,1.916668E+03,1.191775E-01,1.690270E-01,2.136688E+03,1.158649E+03,7.252265E-02,1.021793E-01,3.270411E+03,1.897803E+03,1.110039E-01,1.673635E-01,2.159206E+03,1.259998E+03,7.328694E-02,1.111165E-01
01:00:00,1.102771E+03,2.437358E+03,3.743350E-02,2.149320E-01,3.511231E+03,1.904130E+03,1.191778E-01,1.679214E-01,2.136694E+03,1.150575E+03,7.252284E-02,1.014674E-01,3.270420E+03,1.885772E+03,1.110042E-01,1.663025E-01,2.159212E+03,1.248162E+03,7.328713E-02,1.100729E-01
01:10:00,1.102773E+03,2.431902E+03,3.743358E-02,2.144510E-01,3.511239E+03,1.892019E+03,1.191781E-01,1.668534E-01,2.136699E+03,1.142753E+03,7.252302E-02,1.007775E-01,3.270428E+03,1.874132E+03,1.110045E-01,1.652760E-01,2.159217E+03,1.236833E+03,7.328731E-02,1.090739E-01
01:20:00,1.102776E+03,2.426591E+03,3.743367E-02,2.139827E-01,3.511246E+03,1.880317E+03,1.191783E-01,1.658215E-01,2.136704E+03,1.135167E+03,7.252319E-02,1.001086E-01,3.270436E+03,1.862847E+03,1.110048E-01,1.642808E-01,2.159222E+03,1.225976E+03,7.328748E-02,1.081164E-01
01:30:00,1.102778E+03,2.421419E+03,3.743375E-02,2.135266E-01,3.511254E+03,1.869001E+03,1.191786E-01,1.648236E-01,2.136709E+03,1.127796E+03,7.252335E-02,9.945853E-02,3.270443E+03,1.851931E+03,1.110050E-01,1.633182E-01,2.159227E+03,1.215559E+03,7.328765E-02,1.071979E-01
01:40:00,1.102781E+03,2.416379E+03,3.743382E-02,2.130822E-01,3.511261E+03,1.858043E+03,1.191788E-01,1.638573E-01,2.136714E+03,1.120657E+03,7.252351E-02,9.882900E-02,3.270450E+03,1.841391E+03,1.110053E-01,1.623887E-01,2.159232E+03,1.205556E+03,7.328781E-02,1.063157E-01
