Time,CORE_ZN ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:BURLINGTON INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:BURLINGTON INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.173987E+03,2.381690E+03,3.985091E-02,2.100231E-01,3.383947E+03,1.797307E+03,1.148611E-01,1.584951E-01,2.088376E+03,1.084374E+03,7.088521E-02,9.562533E-02,3.168914E+03,1.782779E+03,1.075622E-01,1.572140E-01,2.068005E+03,1.201232E+03,7.019374E-02,1.059299E-01
00:20:00,1.173989E+03,2.375327E+03,3.985099E-02,2.094620E-01,3.383955E+03,1.782954E+03,1.148613E-01,1.572294E-01,2.088382E+03,1.075362E+03,7.088538E-02,9.483068E-02,3.168922E+03,1.769076E+03,1.075625E-01,1.560055E-01,2.068010E+03,1.187416E+03,7.019392E-02,1.047117E-01
00:30:00,1.173991E+03,2.369173E+03,3.985106E-02,2.089193E-01,3.383962E+03,1.768997E+03,1.148616E-01,1.559986E-01,2.088386E+03,1.066598E+03,7.088555E-02,9.405781E-02,3.168930E+03,1.755800E+03,1.075627E-01,1.548349E-01,2.068015E+03,1.174152E+03,7.019408E-02,1.035420E-01
00:40:00,1.173993E+03,2.363210E+03,3.985114E-02,2.083935E-01,3.383969E+03,1.755419E+03,1.148618E-01,1.548013E-01,2.088391E+03,1.058070E+03,7.088570E-02,9.330580E-02,3.168937E+03,1.742928E+03,1.075630E-01,1.536998E-01,2.068019E+03,1.161399E+03,7.019423E-02,1.024174E-01
00:50:00,1.173995E+03,2.357425E+03,3.985120E-02,2.078835E-01,3.383976E+03,1.742204E+03,1.148620E-01,1.536359E-01,2.088395E+03,1.049769E+03,7.088584E-02,9.257382E-02,3.168944E+03,1.730439E+03,1.075632E-01,1.525985E-01,2.068024E+03,1.149124E+03,7.019438E-02,1.013350E-01
01:00:00,1.173997E+03,2.351805E+03,3.985127E-02,2.073879E-01,3.383982E+03,1.729337E+03,1.148622E-01,1.525013E-01,2.088399E+03,1.041687E+03,7.088598E-02,9.186112E-02,3.168950E+03,1.718315E+03,1.075634E-01,1.515294E-01,2.068028E+03,1.137297E+03,7.019452E-02,1.002920E-01
01:10:00,1.173999E+03,2.346339E+03,3.985133E-02,2.069059E-01,3.383987E+03,1.716896E+03,1.148624E-01,1.514042E-01,2.088403E+03,1.033870E+03,7.088611E-02,9.117177E-02,3.168956E+03,1.706618E+03,1.075636E-01,1.504980E-01,2.068032E+03,1.125943E+03,7.019465E-02,9.929084E-02
01:20:00,1.174001E+03,2.341017E+03,3.985139E-02,2.064366E-01,3.383993E+03,1.704873E+03,1.148626E-01,1.503440E-01,2.088407E+03,1.026313E+03,7.088623E-02,9.050542E-02,3.168961E+03,1.695337E+03,1.075638E-01,1.495032E-01,2.068035E+03,1.115041E+03,7.019477E-02,9.832952E-02
01:30:00,1.174002E+03,2.335833E+03,3.985145E-02,2.059795E-01,3.383998E+03,1.693263E+03,1.148628E-01,1.493202E-01,2.088410E+03,1.019014E+03,7.088635E-02,8.986173E-02,3.168967E+03,1.684462E+03,1.075640E-01,1.485442E-01,2.068039E+03,1.104573E+03,7.019489E-02,9.740638E-02
01:40:00,1.174004E+03,2.330781E+03,3.985150E-02,2.055340E-01,3.384003E+03,1.682061E+03,1.148629E-01,1.483324E-01,2.088413E+03,1.011968E+03,7.088646E-02,8.924043E-02,3.168972E+03,1.673985E+03,1.075642E-01,1.476203E-01,2.068042E+03,1.094519E+03,7.019500E-02,9.651988E-02
