Time,CORE_ZN ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:DULUTH INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:DULUTH INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.213568E+03,2.231909E+03,4.119450E-02,1.968164E-01,3.861874E+03,1.616315E+03,1.310791E-01,1.425366E-01,2.375478E+03,9.593647E+02,8.062744E-02,8.460297E-02,3.632100E+03,1.591808E+03,1.232802E-01,1.403757E-01,2.397712E+03,1.108421E+03,8.138207E-02,9.774687E-02
00:20:00,1.213571E+03,2.225688E+03,4.119461E-02,1.962678E-01,3.861884E+03,1.601474E+03,1.310795E-01,1.412279E-01,2.375485E+03,9.504580E+02,8.062767E-02,8.381756E-02,3.632111E+03,1.577935E+03,1.232805E-01,1.391523E-01,2.397719E+03,1.093040E+03,8.138230E-02,9.639052E-02
00:30:00,1.213575E+03,2.219691E+03,4.119472E-02,1.957391E-01,3.861894E+03,1.587091E+03,1.310798E-01,1.399596E-01,2.375492E+03,9.418211E+02,8.062789E-02,8.305595E-02,3.632121E+03,1.564565E+03,1.232808E-01,1.379734E-01,2.397725E+03,1.078361E+03,8.138252E-02,9.509609E-02
00:40:00,1.213578E+03,2.213900E+03,4.119482E-02,1.952285E-01,3.861903E+03,1.573144E+03,1.310801E-01,1.387297E-01,2.375498E+03,9.334424E+02,8.062810E-02,8.231710E-02,3.632130E+03,1.551671E+03,1.232812E-01,1.368363E-01,2.397731E+03,1.064329E+03,8.138273E-02,9.385872E-02
00:50:00,1.213580E+03,2.208299E+03,4.119492E-02,1.947346E-01,3.861912E+03,1.559613E+03,1.310804E-01,1.375366E-01,2.375504E+03,9.253118E+02,8.062830E-02,8.160013E-02,3.632139E+03,1.539225E+03,1.232815E-01,1.357389E-01,2.397737E+03,1.050895E+03,8.138293E-02,9.267414E-02
01:00:00,1.213583E+03,2.202873E+03,4.119501E-02,1.942561E-01,3.861921E+03,1.546481E+03,1.310807E-01,1.363786E-01,2.375509E+03,9.174205E+02,8.062849E-02,8.090426E-02,3.632147E+03,1.527208E+03,1.232818E-01,1.346792E-01,2.397743E+03,1.038018E+03,8.138312E-02,9.153857E-02
01:10:00,1.213586E+03,2.197609E+03,4.119510E-02,1.937920E-01,3.861929E+03,1.533827E+03,1.310810E-01,1.352628E-01,2.375515E+03,9.098173E+02,8.062867E-02,8.023381E-02,3.632156E+03,1.515682E+03,1.232820E-01,1.336629E-01,2.397748E+03,1.025715E+03,8.138330E-02,9.045372E-02
01:20:00,1.213588E+03,2.192496E+03,4.119518E-02,1.933412E-01,3.861936E+03,1.521637E+03,1.310812E-01,1.341878E-01,2.375520E+03,9.024957E+02,8.062884E-02,7.958818E-02,3.632163E+03,1.504632E+03,1.232823E-01,1.326885E-01,2.397753E+03,1.013954E+03,8.138348E-02,8.941657E-02
01:30:00,1.213591E+03,2.187526E+03,4.119526E-02,1.929029E-01,3.861944E+03,1.509902E+03,1.310815E-01,1.331530E-01,2.375525E+03,8.954538E+02,8.062901E-02,7.896723E-02,3.632171E+03,1.494051E+03,1.232825E-01,1.317555E-01,2.397758E+03,1.002705E+03,8.138364E-02,8.842462E-02
01:40:00,1.213593E+03,2.182690E+03,4.119534E-02,1.924765E-01,3.861951E+03,1.498615E+03,1.310817E-01,1.321577E-01,2.375529E+03,8.886954E+02,8.062917E-02,7.837128E-02,3.632178E+03,1.483953E+03,1.232828E-01,1.308650E-01,2.397763E+03,9.919438E+02,8.138380E-02,8.747569E-02
01:50:00,1.213595E+03,2.177983E+03,4.119541E-02,1.920615E-01,3.861957E+03,1.487771E+03,1.310819E-01,1.312015E-01,2.375534E+03,8.822260E+02,8.062932E-02,7.780083E-02,3.632184E+03,1.474293E+03,1.232830E-01,1.300133E-01,2.397767E+03,9.816484E+02,8.138395E-02,8.656782E-02
02:00:00,1.213597E+03,2.173399E+03,4.119548E-02,1.916573E-01,3.861964E+03,1.477366E+03,1.310822E-01,1.302840E-01,2.375538E+03,8.760214E+02,8.062947E-02,7.725375E-02,3.632191E+03,1.465059E+03,1.232832E-01,1.291991E-01,2.397772E+03,9.717992E+02,8.138410E-02,8.569930E-02
02:10:00,1.213599E+03,2.168933E+03,4.119555E-02,1.912635E-01,3.861970E+03,1.467307E+03,1.310824E-01,1.293970E-01,2.375542E+03,8.700200E+02,8.062961E-02,7.672457E-02,3.632197E+03,1.456144E+03,1.232834E-01,1.284131E-01,2.397776E+03,9.623218E+02,8.138424E-02,8.486358E-02
02:20:00,1.213601E+03,2.164582E+03,4.119562E-02,1.908798E-01,3.861976E+03,1.457597E+03,1.310826E-01,1.285408E-01,2.375546E+03,8.642112E+02,8.062975E-02,7.621237E-02,3.632203E+03,1.447532E+03,1.232836E-01,1.276537E-01,2.397780E+03,9.532008E+02,8.138438E-02,8.405927E-02
02:30:00,1.213603E+03,2.160339E+03,4.119568E-02,1.905057E-01,3.861982E+03,1.448256E+03,1.310828E-01,1.277172E-01,2.375550E+03,8.585838E+02,8.062988E-02,7.571616E-02,3.632209E+03,1.439199E+03,1.232838E-01,1.269189E-01,2.397784E+03,9.444206E+02,8.138451E-02,8.328503E-02
02:40:00,1.213605E+03,2.156202E+03,4.119574E-02,1.901409E-01,3.861988E+03,1.439240E+03,1.310830E-01,1.269222E-01,2.375554E+03,8.531220E+02,8.063001E-02,7.523453E-02,3.632215E+03,1.431104E+03,1.232840E-01,1.262050E-01,2.397787E+03,9.359673E+02,8.138464E-02,8.253961E-02
