Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.660554E-02,2.391390E+03,2.423672E-01,2.324668E+03,2.426469E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.812829E+03,1.850525E-01,1.777041E+03,1.807552E+03,1.404420E-01,7.753993E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.075393E+03,1.036493E-01,9.857624E+02,9.960897E+02,8.356515E-02,4.607118E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.812829E+03,1.808036E-01,1.729602E+03,1.753311E+03,1.273579E-01,7.374154E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.075393E+03,1.321011E-01,1.303446E+03,1.332077E+03,8.318219E-02,4.596000E+03,3.444903E-02,0.000000E+00,0.000000E+00
00:20:00,7.660554E-02,2.399242E+03,2.411427E-01,2.303125E+03,2.404300E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.818781E+03,1.828186E-01,1.746135E+03,1.775269E+03,1.404421E-01,7.753994E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.078924E+03,1.025232E-01,9.696521E+02,9.791936E+02,8.356518E-02,4.607119E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.818781E+03,1.783069E-01,1.695762E+03,1.718275E+03,1.273580E-01,7.374155E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.078924E+03,1.293438E-01,1.269121E+03,1.296631E+03,8.318222E-02,4.596001E+03,3.444903E-02,0.000000E+00,0.000000E+00
00:30:00,7.660554E-02,2.407094E+03,2.400013E-01,2.282513E+03,2.383069E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.824733E+03,1.806857E-01,1.716359E+03,1.744061E+03,1.404421E-01,7.753995E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.082455E+03,1.014506E-01,9.541398E+02,9.628824E+02,8.356521E-02,4.607120E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.824733E+03,1.759846E-01,1.663871E+03,1.685121E+03,1.273580E-01,7.374157E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.082455E+03,1.267940E-01,1.237114E+03,1.263435E+03,8.318224E-02,4.596002E+03,3.444903E-02,0.000000E+00,0.000000E+00
00:40:00,7.660554E-02,2.414945E+03,2.389344E-01,2.262733E+03,2.362676E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.830685E+03,1.786469E-01,1.687634E+03,1.713871E+03,1.404421E-01,7.753996E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.085986E+03,1.004277E-01,9.391824E+02,9.471208E+02,8.356524E-02,4.607121E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.830685E+03,1.738184E-01,1.633723E+03,1.653672E+03,1.273581E-01,7.374158E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.085986E+03,1.244278E-01,1.207158E+03,1.232257E+03,8.318227E-02,4.596003E+03,3.444903E-02,0.000000E+00,0.000000E+00
00:50:00,7.660554E-02,2.422797E+03,2.379339E-01,2.243695E+03,2.343035E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.836637E+03,1.766958E-01,1.659888E+03,1.684645E+03,1.404422E-01,7.753997E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.089517E+03,9.945076E-02,9.247395E+02,9.318753E+02,8.356526E-02,4.607121E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.836637E+03,1.717919E-01,1.605137E+03,1.623768E+03,1.273581E-01,7.374159E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.089517E+03,1.222245E-01,1.179021E+03,1.202888E+03,8.318230E-02,4.596004E+03,3.444903E-02,0.000000E+00,0.000000E+00
01:00:00,7.660554E-02,2.430649E+03,2.369683E-01,2.225046E+03,2.323732E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.842589E+03,1.748117E-01,1.632891E+03,1.656135E+03,1.404422E-01,7.753998E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.093048E+03,9.850827E-02,9.106807E+02,9.170028E+02,8.356529E-02,4.607122E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.842589E+03,1.698770E-01,1.577796E+03,1.595078E+03,1.273581E-01,7.374160E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.093048E+03,1.201586E-01,1.152417E+03,1.175045E+03,8.318232E-02,4.596004E+03,3.444903E-02,0.000000E+00,0.000000E+00
01:10:00,7.660554E-02,2.435883E+03,2.360779E-01,2.209869E+03,2.308001E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.846557E+03,1.730237E-01,1.608959E+03,1.630770E+03,1.404422E-01,7.753999E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.095402E+03,9.761758E-02,8.983816E+02,9.039430E+02,8.356531E-02,4.607123E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.846557E+03,1.680946E-01,1.553925E+03,1.569939E+03,1.273582E-01,7.374161E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.095402E+03,1.182332E-01,1.128565E+03,1.150006E+03,8.318234E-02,4.596005E+03,3.444903E-02,0.000000E+00,0.000000E+00
01:20:00,7.660554E-02,2.441118E+03,2.352259E-01,2.195121E+03,2.292684E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.850525E+03,1.713094E-01,1.585850E+03,1.606236E+03,1.404423E-01,7.754000E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.097755E+03,9.676579E-02,8.865170E+02,8.913276E+02,8.356533E-02,4.607123E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.850525E+03,1.664165E-01,1.531220E+03,1.545977E+03,1.273582E-01,7.374162E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.097755E+03,1.164267E-01,1.106040E+03,1.126314E+03,8.318236E-02,4.596005E+03,3.444903E-02,0.000000E+00,0.000000E+00
01:30:00,7.660554E-02,2.446352E+03,2.344202E-01,2.180891E+03,2.277897E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.854493E+03,1.696718E-01,1.563597E+03,1.582581E+03,1.404423E-01,7.754001E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.100109E+03,9.595528E-02,8.751132E+02,8.791917E+02,8.356535E-02,4.607124E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.854493E+03,1.648410E-01,1.509660E+03,1.523188E+03,1.273582E-01,7.374163E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.100109E+03,1.147312E-01,1.084755E+03,1.103888E+03,8.318238E-02,4.596006E+03,3.444903E-02,0.000000E+00,0.000000E+00
01:40:00,7.660554E-02,2.451587E+03,2.336551E-01,2.167113E+03,2.263574E+03,7.660554E-02,7.074253E+03,7.660554E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.858462E+03,1.681060E-01,1.542146E+03,1.559756E+03,1.404423E-01,7.754002E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.102463E+03,9.518406E-02,8.641482E+02,8.675162E+02,8.356537E-02,4.607124E+03,3.444903E-02,0.000000E+00,0.000000E+00,5.807196E-02,1.858462E+03,1.633590E-01,1.489145E+03,1.501477E+03,1.273583E-01,7.374164E+03,5.807196E-02,0.000000E+00,0.000000E+00,3.444903E-02,1.102463E+03,1.131364E-01,1.064594E+03,1.082617E+03,8.318240E-02,4.596007E+03,3.444903E-02,0.000000E+00,0.000000E+00
