Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.097408E+03,2.636303E-01,3.099222E+03,4.635428E+03,1.883965E-01,5.460948E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.319060E+02,2.158772E-01,2.527907E+03,3.866042E+03,1.175136E-01,3.348763E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,4.934974E+02,1.310152E-01,1.532497E+03,2.340632E+03,1.874025E-01,5.442079E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.319060E+02,2.129613E-01,2.495418E+03,3.829978E+03,1.184361E-01,3.366276E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,4.934974E+02,1.410652E-01,1.644477E+03,2.462985E+03
00:20:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.103191E+03,2.630988E-01,3.087516E+03,4.623271E+03,1.883970E-01,5.460957E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.362901E+02,2.146599E-01,2.509960E+03,3.846721E+03,1.175140E-01,3.348769E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,4.960980E+02,1.302100E-01,1.520924E+03,2.328132E+03,1.874030E-01,5.442087E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.362901E+02,2.117549E-01,2.477593E+03,3.810776E+03,1.184364E-01,3.366282E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,4.960980E+02,1.398802E-01,1.628672E+03,2.445988E+03
00:30:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.108974E+03,2.625836E-01,3.075992E+03,4.611304E+03,1.883974E-01,5.460965E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.406742E+02,2.134778E-01,2.492405E+03,3.827811E+03,1.175143E-01,3.348775E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,4.986987E+02,1.294281E-01,1.509612E+03,2.315907E+03,1.874034E-01,5.442096E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.406742E+02,2.105863E-01,2.460188E+03,3.792019E+03,1.184367E-01,3.366287E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,4.986987E+02,1.387415E-01,1.613384E+03,2.429532E+03
00:40:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.114757E+03,2.620837E-01,3.064638E+03,4.599509E+03,1.883978E-01,5.460973E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.450582E+02,2.123293E-01,2.475224E+03,3.809295E+03,1.175145E-01,3.348780E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.012994E+02,1.286686E-01,1.498549E+03,2.303945E+03,1.874039E-01,5.442104E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.450582E+02,2.094537E-01,2.443184E+03,3.773684E+03,1.184370E-01,3.366293E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.012994E+02,1.376460E-01,1.598577E+03,2.413583E+03
00:50:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.120541E+03,2.615979E-01,3.053441E+03,4.587877E+03,1.883982E-01,5.460981E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.494423E+02,2.112128E-01,2.458400E+03,3.791160E+03,1.175148E-01,3.348786E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.039001E+02,1.279305E-01,1.487724E+03,2.292237E+03,1.874043E-01,5.442111E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.494423E+02,2.083553E-01,2.426561E+03,3.755756E+03,1.184373E-01,3.366298E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.039001E+02,1.365909E-01,1.584221E+03,2.398111E+03
01:00:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.126324E+03,2.611252E-01,3.042391E+03,4.576397E+03,1.883986E-01,5.460988E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.538263E+02,2.101272E-01,2.441919E+03,3.773396E+03,1.175151E-01,3.348791E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.065008E+02,1.272129E-01,1.477128E+03,2.280778E+03,1.874047E-01,5.442119E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.538263E+02,2.072895E-01,2.410302E+03,3.738223E+03,1.184375E-01,3.366303E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.065008E+02,1.355739E-01,1.570288E+03,2.383092E+03
01:10:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.130179E+03,2.606650E-01,3.033408E+03,4.567026E+03,1.883990E-01,5.460995E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.567491E+02,2.090780E-01,2.427306E+03,3.757580E+03,1.175153E-01,3.348795E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.082346E+02,1.265193E-01,1.467666E+03,2.270502E+03,1.874050E-01,5.442126E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.567491E+02,2.062616E-01,2.395926E+03,3.722655E+03,1.184378E-01,3.366308E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.082346E+02,1.345970E-01,1.557669E+03,2.369446E+03
01:20:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.134035E+03,2.602166E-01,3.024556E+03,4.557791E+03,1.883993E-01,5.461002E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.596718E+02,2.080643E-01,2.413089E+03,3.742191E+03,1.175156E-01,3.348800E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.099684E+02,1.258489E-01,1.458463E+03,2.260505E+03,1.874054E-01,5.442132E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.596718E+02,2.052705E-01,2.381960E+03,3.707528E+03,1.184380E-01,3.366312E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.099684E+02,1.336583E-01,1.545477E+03,2.356253E+03
01:30:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.137890E+03,2.597794E-01,3.015829E+03,4.548687E+03,1.883997E-01,5.461008E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.625945E+02,2.070856E-01,2.399261E+03,3.727213E+03,1.175158E-01,3.348804E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.117021E+02,1.252014E-01,1.449514E+03,2.250777E+03,1.874057E-01,5.442139E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.625945E+02,2.043153E-01,2.368394E+03,3.692827E+03,1.184383E-01,3.366316E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.117021E+02,1.327563E-01,1.533693E+03,2.343490E+03
01:40:00,7.777393E-02,3.962296E+03,7.777393E-02,0.000000E+00,0.000000E+00,7.777393E-02,1.141746E+03,2.593531E-01,3.007223E+03,4.539708E+03,1.884000E-01,5.461015E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.655172E+02,2.061411E-01,2.385814E+03,3.712644E+03,1.175160E-01,3.348808E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.134359E+02,1.245762E-01,1.440814E+03,2.241317E+03,1.874060E-01,5.442145E+03,5.895768E-02,0.000000E+00,0.000000E+00,5.895768E-02,8.655172E+02,2.033952E-01,2.355219E+03,3.678546E+03,1.184385E-01,3.366321E+03,3.497445E-02,0.000000E+00,0.000000E+00,3.497445E-02,5.134359E+02,1.318896E-01,1.522301E+03,2.331145E+03
