Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/01  02:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/01  03:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/01  04:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/01  05:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/01  06:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/01  07:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  08:00:00,2923570.5965399087,2043510.819381642,10658681.415921549,10658681.415921549,0.0 
 01/01  09:00:00,2923570.5965399087,2043510.819381642,7922681.415921549,7922681.415921549,0.0 
 01/01  10:00:00,2781851.6285659379,2043510.819381642,7780962.447947578,7780962.447947578,0.0 
 01/01  11:00:00,2502898.0469643559,2043510.819381642,7502008.866345997,7502008.866345996,0.0 
 01/01  12:00:00,2512960.0466236949,2043510.819381642,7512070.866005335,7512070.866005335,0.0 
 01/01  13:00:00,2661360.438236989,2043510.819381642,7660471.25761863,7660471.257618629,0.0 
 01/01  14:00:00,2759055.680040771,2043510.819381642,7758166.499422412,7758166.4994224109,0.0 
 01/01  15:00:00,2847371.6825082579,2043510.819381642,7846482.5018898979,7846482.5018898979,0.0 
 01/01  16:00:00,2923570.5965399087,2043510.819381642,7922681.415921549,7922681.415921549,0.0 
 01/01  17:00:00,2923570.5965399087,2043510.819381642,9564281.415921549,9564281.415921549,0.0 
 01/01  18:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  19:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  20:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  21:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  22:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  23:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/01  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/02  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/02  07:00:00,2901503.2420463429,5985552.087175781,43672970.73877346,43672970.738773468,26110572.58011715 
 01/02  08:00:00,5298397.224606365,5985552.087175781,48366596.00710201,48366596.007102,26447350.755192903 
 01/02  09:00:00,10694749.192999723,11971104.174351562,51859267.463800359,51859267.46380036,2884081.11214758 
 01/02  10:00:00,9921325.25523212,11971104.174351562,46727616.686940159,46727616.68694016,988213.1406616201 
 01/02  11:00:00,9914589.352224812,11971104.174351562,41959518.635990459,41959518.635990459,89777.674835103 
 01/02  12:00:00,9825794.388872819,11971104.174351562,40177007.67944618,40177007.67944618,0.0 
 01/02  13:00:00,8886861.295973905,11252837.923890466,42409595.03565447,42409595.03565447,33078.603531147994 
 01/02  14:00:00,9958016.32782381,11971104.174351562,38273826.45091117,38273826.45091118,0.0 
 01/02  15:00:00,10035361.91577586,11971104.174351562,36472742.99773413,36472742.99773413,0.0 
 01/02  16:00:00,10277772.919199245,11971104.174351562,36648281.16474153,36648281.16474152,0.0 
 01/02  17:00:00,11105493.092178505,11971104.174351562,40964059.54155794,40964059.54155795,0.0 
 01/02  18:00:00,7695291.207166387,5985552.087175781,43832375.455290589,43832375.455290589,11117585.389046289 
 01/02  19:00:00,5298397.224606365,2394220.834870312,23233432.637297933,23233432.63729793,43892277.99046916 
 01/02  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/02  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/02  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/02  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/02  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/03  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/03  07:00:00,2901503.2420463429,5985552.087175781,21016462.580460144,21016462.580460144,82122967.96627388 
 01/03  08:00:00,5298397.224606365,5985552.087175781,22866156.56308244,22866156.56308244,103621650.77176376 
 01/03  09:00:00,10374204.417123018,11971104.174351562,31191515.842774869,31191515.842774869,68180347.12238331 
 01/03  10:00:00,9938236.750583254,11971104.174351562,30755548.176235107,30755548.17623511,51500854.98377792 
 01/03  11:00:00,9932289.032077214,11971104.174351562,30749600.457729065,30749600.457729065,36343765.9031423 
 01/03  12:00:00,9970271.817555789,11971104.174351562,30787583.243207639,30787583.24320764,28191055.71903733 
 01/03  13:00:00,8869151.915612773,11252837.923890466,28968197.090803528,28968197.09080353,38648798.42335907 
 01/03  14:00:00,9855608.37800726,11971104.174351562,30672919.80365911,30672919.803659116,20547027.954444559 
 01/03  15:00:00,9923045.099900376,11971104.174351562,39471660.954131457,39471660.954131457,0.0 
 01/03  16:00:00,10239456.519171734,11971104.174351562,40967676.15158018,40967676.15158019,0.0 
 01/03  17:00:00,11297692.2585623,11971104.174351562,43874389.804189357,43874389.80418936,4523787.067070602 
 01/03  18:00:00,7695291.207166387,5985552.087175781,44796832.09548251,44796832.095482509,15044465.44972897 
 01/03  19:00:00,5298397.224606365,2394220.834870312,40736403.17582941,40736403.17582941,7166526.369269963 
 01/03  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/03  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
