Time,CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.256873E+03,2.392410E+03,6.525025E-02,2.113917E-01,3.988196E+03,1.802624E+03,2.070226E-01,1.592922E-01,2.461837E+03,1.089953E+03,1.277897E-01,9.631626E-02,3.978454E+03,1.784477E+03,2.065169E-01,1.576887E-01,2.485806E+03,1.211615E+03,1.290339E-01,1.070665E-01
00:20:00,1.256876E+03,2.386156E+03,6.525038E-02,2.108391E-01,3.988203E+03,1.788247E+03,2.070229E-01,1.580218E-01,2.461842E+03,1.080692E+03,1.277900E-01,9.549798E-02,3.978462E+03,1.770025E+03,2.065173E-01,1.564116E-01,2.485811E+03,1.197362E+03,1.290342E-01,1.058071E-01
00:30:00,1.256878E+03,2.380109E+03,6.525050E-02,2.103049E-01,3.988210E+03,1.774263E+03,2.070233E-01,1.567861E-01,2.461847E+03,1.071686E+03,1.277902E-01,9.470211E-02,3.978468E+03,1.756019E+03,2.065176E-01,1.551740E-01,2.485816E+03,1.183689E+03,1.290344E-01,1.045989E-01
00:40:00,1.256880E+03,2.374253E+03,6.525061E-02,2.097875E-01,3.988217E+03,1.760654E+03,2.070236E-01,1.555836E-01,2.461851E+03,1.062922E+03,1.277905E-01,9.392772E-02,3.978475E+03,1.742437E+03,2.065180E-01,1.539738E-01,2.485820E+03,1.170555E+03,1.290347E-01,1.034384E-01
00:50:00,1.256882E+03,2.368573E+03,6.525072E-02,2.092856E-01,3.988223E+03,1.747405E+03,2.070240E-01,1.544129E-01,2.461855E+03,1.054392E+03,1.277907E-01,9.317396E-02,3.978481E+03,1.729257E+03,2.065183E-01,1.528092E-01,2.485825E+03,1.157924E+03,1.290349E-01,1.023223E-01
01:00:00,1.256884E+03,2.363056E+03,6.525082E-02,2.087982E-01,3.988229E+03,1.734504E+03,2.070243E-01,1.532729E-01,2.461859E+03,1.046087E+03,1.277909E-01,9.244010E-02,3.978487E+03,1.716462E+03,2.065186E-01,1.516786E-01,2.485829E+03,1.145763E+03,1.290351E-01,1.012477E-01
01:10:00,1.256886E+03,2.357691E+03,6.525092E-02,2.083242E-01,3.988235E+03,1.722043E+03,2.070246E-01,1.521718E-01,2.461863E+03,1.038063E+03,1.277911E-01,9.173109E-02,3.978493E+03,1.704134E+03,2.065189E-01,1.505893E-01,2.485833E+03,1.134107E+03,1.290353E-01,1.002177E-01
01:20:00,1.256888E+03,2.352470E+03,6.525102E-02,2.078628E-01,3.988241E+03,1.710013E+03,2.070249E-01,1.511088E-01,2.461867E+03,1.030315E+03,1.277913E-01,9.104639E-02,3.978499E+03,1.692262E+03,2.065192E-01,1.495402E-01,2.485837E+03,1.122931E+03,1.290355E-01,9.923021E-02
01:30:00,1.256890E+03,2.347384E+03,6.525111E-02,2.074135E-01,3.988246E+03,1.698408E+03,2.070252E-01,1.500833E-01,2.461871E+03,1.022837E+03,1.277915E-01,9.038564E-02,3.978504E+03,1.680834E+03,2.065195E-01,1.485304E-01,2.485840E+03,1.112214E+03,1.290357E-01,9.828322E-02
01:40:00,1.256892E+03,2.342429E+03,6.525120E-02,2.069757E-01,3.988251E+03,1.687223E+03,2.070255E-01,1.490949E-01,2.461874E+03,1.015627E+03,1.277917E-01,8.974854E-02,3.978510E+03,1.669843E+03,2.065198E-01,1.475592E-01,2.485844E+03,1.101937E+03,1.290359E-01,9.737512E-02
