Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,2923570.5965399087,2043510.819381642,12756666.611078524,12756666.611078522,5102816.526724439 
 01/01  02:00:00,2923570.5965399087,2043510.819381642,12121629.211407764,12121629.21140776,2265534.385113206 
 01/01  03:00:00,2923570.5965399087,2043510.819381642,11517178.031551414,11517178.03155141,2557047.369572704 
 01/01  04:00:00,2923570.5965399087,2043510.819381642,11019639.645562446,11019639.645562446,359558.67704890036 
 01/01  05:00:00,2923570.5965399087,2043510.819381642,12097748.994660233,12097748.994660233,2502640.6194550909 
 01/01  06:00:00,2923570.5965399087,2043510.819381642,12890072.141933803,12890072.141933803,4496644.077991705 
 01/01  07:00:00,2923570.5965399087,2043510.819381642,13632509.775811296,13632509.775811295,3438412.2356750338 
 01/01  08:00:00,2923570.5965399087,2043510.819381642,14505542.530634165,14505542.530634165,5956837.751232865 
 01/01  09:00:00,2923570.5965399087,2043510.819381642,14182473.751448323,14182473.751448319,4210973.602783598 
 01/01  10:00:00,2923570.5965399087,2043510.819381642,14599337.056718221,14599337.056718218,5904682.446863395 
 01/01  11:00:00,2923570.5965399087,2043510.819381642,14158552.458543323,14158552.45854332,4307041.133251453 
 01/01  12:00:00,2923570.5965399087,2043510.819381642,11216249.03518532,11216249.035185319,5956415.008069148 
 01/01  13:00:00,2923570.5965399087,2043510.819381642,10400767.825850316,10400767.825850314,3491036.904210307 
 01/01  14:00:00,2923570.5965399087,2043510.819381642,10575660.629146954,10575660.629146953,5578551.177606173 
 01/01  15:00:00,2923570.5965399087,2043510.819381642,11656885.222575566,11656885.222575566,1838066.427947511 
 01/01  16:00:00,2923570.5965399087,2043510.819381642,12853352.905016236,12853352.905016233,2243886.1824657826 
 01/01  17:00:00,2923570.5965399087,2043510.819381642,13276894.0282017,13276894.028201696,4793952.7884711059 
 01/01  18:00:00,2923570.5965399087,2043510.819381642,14670741.409284335,14670741.40928433,4280841.893702051 
 01/01  19:00:00,2923570.5965399087,2043510.819381642,13828946.80261579,13828946.802615788,6746935.4287147619 
 01/01  20:00:00,2923570.5965399087,2043510.819381642,15145399.131631528,15145399.131631524,5989800.422959909 
 01/01  21:00:00,2923570.5965399087,2043510.819381642,13799041.832835066,13799041.83283506,6457811.230855335 
 01/01  22:00:00,2923570.5965399087,2043510.819381642,15021681.754768333,15021681.754768327,4707576.616519155 
 01/01  23:00:00,2923570.5965399087,2043510.819381642,13709093.23084105,13709093.230841048,5561568.9433738379 
 01/01  24:00:00,2923570.5965399087,2043510.819381642,14674280.62198014,14674280.621980133,3888044.9049505798 
 01/02  01:00:00,2923570.5965399087,5108777.048454104,14901046.445542068,14901046.445542066,1967961.4973422997 
 01/02  02:00:00,2923570.5965399087,5108777.048454104,15123988.58203604,15123988.58203604,3530931.0237015506 
 01/02  03:00:00,2923570.5965399087,5108777.048454104,15077809.571069884,15077809.571069882,1783451.4447739395 
 01/02  04:00:00,2923570.5965399087,5108777.048454104,15414710.741423674,15414710.741423672,2255920.92368585 
 01/02  05:00:00,2923570.5965399087,5108777.048454104,13979728.57638639,13979728.57638639,285996.211313539 
 01/02  06:00:00,3735673.540023218,5108777.048454104,14224914.75876981,14224914.75876981,214395.22624862198 
 01/02  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982037,96604736.97456247 
 01/02  08:00:00,5298397.224606365,5985552.087175781,23811426.943604344,23811426.943604337,112096148.28800085 
 01/02  09:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,74347932.21383848 
 01/02  10:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,68012733.39270646 
 01/02  11:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,65147082.70106928 
 01/02  12:00:00,11353708.338442214,11971104.174351562,33116290.144615957,33116290.144615957,62413625.80017687 
 01/02  13:00:00,10092185.189726409,11252837.923890466,30589300.745439065,30589300.745439069,82253991.01447968 
 01/02  14:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,58628739.57409684 
 01/02  15:00:00,11353708.338442214,11971104.174351562,34210690.144615959,34210690.14461596,55985840.349859658 
 01/02  16:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,54313061.80574229 
 01/02  17:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,53646225.39541102 
 01/02  18:00:00,7695291.207166387,5985552.087175781,26208320.926164368,26208320.926164356,84063593.36948234 
 01/02  19:00:00,5298397.224606365,2394220.834870312,20220095.69129887,20220095.691298866,73730283.57791294 
 01/02  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/02  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/02  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/02  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/02  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/03  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/03  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/03  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982033,76758227.0225853 
 01/03  08:00:00,5298397.224606365,5985552.087175781,23811426.943604344,23811426.943604337,110689061.33072859 
 01/03  09:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,80986790.34301344 
 01/03  10:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,74059983.35435368 
 01/03  11:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,71649927.2604815 
 01/03  12:00:00,11176272.690959922,11971104.174351562,32938854.497133666,32938854.49713367,66868287.04156586 
 01/03  13:00:00,10092185.189726409,11252837.923890466,30589300.745439065,30589300.745439069,85595682.09413761 
 01/03  14:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,60101348.98580709 
 01/03  15:00:00,11353708.338442214,11971104.174351562,34210690.144615959,34210690.14461596,59767258.91153764 
 01/03  16:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,61542662.277691829 
 01/03  17:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,62704907.26025991 
 01/03  18:00:00,7695291.207166387,5985552.087175781,26208320.926164368,26208320.926164356,92903958.22309828 
 01/03  19:00:00,5298397.224606365,2394220.834870312,20220095.69129887,20220095.691298866,87780968.74638605 
 01/03  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/03  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/03  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/03  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/03  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/04  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/04  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/04  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/04  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/04  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/04  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/04  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982037,84310648.21871163 
 01/04  08:00:00,5298397.224606365,5985552.087175781,23811426.943604344,23811426.943604337,102241254.68699546 
 01/04  09:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,61285739.464461129 
 01/04  10:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,52872753.968974109 
 01/04  11:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,49208835.68912631 
 01/04  12:00:00,11353708.338442214,11971104.174351562,33116290.144615957,33116290.144615957,45368877.80829008 
 01/04  13:00:00,10092185.189726409,11252837.923890466,30589300.745439065,30589300.745439069,61089732.77969493 
 01/04  14:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,41510699.73331166 
 01/04  15:00:00,11353708.338442214,11971104.174351562,33663490.144615959,33663490.14461596,40333746.77805951 
 01/04  16:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,38906864.95743381 
 01/04  17:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,37622636.47224173 
 01/04  18:00:00,7695291.207166387,5985552.087175781,26208320.926164368,26208320.926164356,64973043.079475577 
 01/04  19:00:00,5298397.224606365,2394220.834870312,20220095.69129887,20220095.691298866,60093679.88667193 
 01/04  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/04  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/04  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/04  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/04  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/05  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/05  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/05  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/05  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/05  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/05  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/05  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982033,68001771.27025092 
 01/05  08:00:00,5298397.224606365,5985552.087175781,23811426.943604344,23811426.943604337,93576313.66308682 
 01/05  09:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,57676200.46693231 
 01/05  10:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,54694779.24922313 
 01/05  11:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,53325852.305574838 
 01/05  12:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,51436072.17189818 
 01/05  13:00:00,10092185.189726409,11252837.923890466,30589300.745439065,30589300.745439069,70914971.52773845 
 01/05  14:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,48280930.24500321 
 01/05  15:00:00,11353708.338442214,11971104.174351562,33663490.144615959,33663490.14461596,47161777.311406429 
 01/05  16:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,46407921.64758733 
 01/05  17:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,44763799.42247705 
 01/05  18:00:00,7695291.207166387,5985552.087175781,26208320.926164368,26208320.926164356,73485615.10502695 
 01/05  19:00:00,5298397.224606365,2394220.834870312,20220095.69129887,20220095.691298866,66804466.021883908 
 01/05  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/05  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/05  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/05  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/05  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/06  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/06  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/06  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/06  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/06  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/06  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/06  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982033,76299845.14382282 
 01/06  08:00:00,5298397.224606365,5985552.087175781,23811426.943604344,23811426.943604337,101884358.37063721 
 01/06  09:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,65624611.2213915 
 01/06  10:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,57281032.77621377 
 01/06  11:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,51607532.05344081 
 01/06  12:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,46228310.51591806 
 01/06  13:00:00,10092185.189726409,11252837.923890466,30589300.745439065,30589300.745439069,63119441.6072315 
 01/06  14:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,43740933.80105699 
 01/06  15:00:00,11353708.338442214,11971104.174351562,45139173.19611769,45139173.1961177,16492959.363537852 
 01/06  16:00:00,11353708.338442214,11971104.174351562,52133058.94835211,52133058.94835212,2896327.13166847 
 01/06  17:00:00,11353708.338442214,11971104.174351562,51395122.00770853,51395122.00770853,2070970.7414868517 
 01/06  18:00:00,7695291.207166387,5985552.087175781,47281946.37354937,47281946.37354936,10403254.612813982 
 01/06  19:00:00,5298397.224606365,2394220.834870312,39294521.89970784,39294521.89970783,4359861.02857934 
 01/06  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/06  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/06  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/06  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/06  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  01:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/07  02:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/07  03:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/07  04:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/07  05:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/07  06:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/07  07:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  08:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  09:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  10:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  11:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  12:00:00,2923570.5965399087,2043510.819381642,7922681.415921549,7922681.415921549,0.0 
 01/07  13:00:00,2923570.5965399087,2043510.819381642,7922681.415921549,7922681.415921549,0.0 
 01/07  14:00:00,2923570.5965399087,2043510.819381642,7922681.415921549,7922681.415921549,0.0 
 01/07  15:00:00,2923570.5965399087,2043510.819381642,8469881.415921549,8469881.415921549,0.0 
 01/07  16:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  17:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  18:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  19:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  20:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  21:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  22:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  23:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/07  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/08  01:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/08  02:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/08  03:00:00,2923570.5965399087,2043510.819381642,10663222.316925994,10663222.316925994,487980.8573834032 
 01/08  04:00:00,2923570.5965399087,2043510.819381642,11364323.712495048,11364323.712495048,955944.1093615305 
 01/08  05:00:00,2923570.5965399087,2043510.819381642,10320678.569055515,10320678.569055515,644242.5597670965 
 01/08  06:00:00,2923570.5965399087,2043510.819381642,10093157.415921549,10093157.415921549,0.0 
 01/08  07:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/08  08:00:00,2923570.5965399087,2043510.819381642,13355896.159040802,13355896.159040798,3262734.7632111276 
 01/08  09:00:00,2923570.5965399087,2043510.819381642,14287775.978967956,14287775.978967956,4388533.48643369 
 01/08  10:00:00,2923570.5965399087,2043510.819381642,12830949.632687416,12830949.632687416,2665784.8172321945 
 01/08  11:00:00,2923570.5965399087,2043510.819381642,13966387.775835716,13966387.775835716,4548535.946128341 
 01/08  12:00:00,2856543.3480643986,2043510.819381642,10326538.429366524,10326538.429366524,4047206.7313790444 
 01/08  13:00:00,2923570.5965399087,2043510.819381642,11534797.768130659,11534797.768130659,5630120.6544158379 
 01/08  14:00:00,2923570.5965399087,2043510.819381642,9692603.510589377,9692603.510589377,2861965.051297873 
 01/08  15:00:00,2923570.5965399087,2043510.819381642,10427840.97477616,10427840.97477616,3373512.0576618465 
 01/08  16:00:00,2923570.5965399087,2043510.819381642,13671499.428793502,13671499.428793498,3757341.634455402 
 01/08  17:00:00,2923570.5965399087,2043510.819381642,12792781.645240888,12792781.645240888,1250085.8489375208 
 01/08  18:00:00,2923570.5965399087,2043510.819381642,13764665.872753865,13764665.87275386,3980762.0404274195 
 01/08  19:00:00,2923570.5965399087,2043510.819381642,13384970.34958274,13384970.34958274,3250989.002041819 
 01/08  20:00:00,2923570.5965399087,2043510.819381642,12831228.010580218,12831228.010580218,1657597.1060862337 
 01/08  21:00:00,2923570.5965399087,2043510.819381642,14332589.301205365,14332589.301205364,4467706.794546147 
 01/08  22:00:00,2923570.5965399087,2043510.819381642,14035036.978827766,14035036.978827762,3457416.6439417579 
 01/08  23:00:00,2923570.5965399087,2043510.819381642,13007666.727298137,13007666.727298137,2331438.9900873096 
 01/08  24:00:00,2923570.5965399087,2043510.819381642,14678087.781175247,14678087.781175243,5835482.601211022 
 01/09  01:00:00,2923570.5965399087,5108777.048454104,16158828.89582228,16158828.89582228,3915867.8502888807 
 01/09  02:00:00,2923570.5965399087,5108777.048454104,14528623.974753648,14528623.974753648,2398085.295993545 
 01/09  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/09  04:00:00,2923570.5965399087,5108777.048454104,15107927.396039892,15107927.396039892,2333273.1593852636 
 01/09  05:00:00,2923570.5965399087,5108777.048454104,15428194.887020857,15428194.887020857,3164926.465859223 
 01/09  06:00:00,3735673.540023218,5108777.048454104,15320595.815432495,15320595.81543249,1124000.1829140252 
 01/09  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982037,98034887.5572088 
 01/09  08:00:00,5298397.224606365,5985552.087175781,23811426.943604344,23811426.943604337,117681709.83979225 
 01/09  09:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,81332398.54561997 
 01/09  10:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,72010371.27858636 
 01/09  11:00:00,11329557.411698157,11971104.174351562,35280939.2178719,35280939.2178719,68222651.1691696 
 01/09  12:00:00,11040877.788957309,11971104.174351562,32256259.595131056,32256259.59513106,63275298.007657337 
 01/09  13:00:00,10032478.526963544,11252837.923890466,30529594.0826762,30529594.0826762,81817311.16236829 
 01/09  14:00:00,11353708.338442214,11971104.174351562,32569090.144615957,32569090.14461596,57918833.88417613 
 01/09  15:00:00,11353708.338442214,11971104.174351562,33116290.144615957,33116290.14461596,56277597.392732638 
 01/09  16:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,55460559.88800594 
 01/09  17:00:00,11353708.338442214,11971104.174351562,35852290.144615959,35852290.144615959,56263570.32797526 
 01/09  18:00:00,7695291.207166387,5985552.087175781,26208320.926164368,26208320.926164356,87201191.29483164 
 01/09  19:00:00,5298397.224606365,2394220.834870312,20220095.69129887,20220095.691298866,77085468.79975949 
 01/09  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 01/09  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/09  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 01/09  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 01/09  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 01/10  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/10  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/10  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/10  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/10  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/10  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/10  07:00:00,2901503.2420463429,5985552.087175781,21414532.960982037,21414532.960982033,92755751.79133411 
