Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,9.631848E-02,6.678360E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.621511E+03,2.467351E-01,2.367933E+03,2.474278E+03,2.219591E-01,7.889863E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.229211E+03,1.893443E-01,1.820740E+03,1.855546E+03,1.324830E-01,4.695822E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.291836E+02,1.061375E-01,1.011179E+03,1.023995E+03,2.201847E-01,7.856181E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.229211E+03,1.818204E-01,1.736902E+03,1.762096E+03,1.318968E-01,4.684695E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.291836E+02,1.344191E-01,1.326329E+03,1.357393E+03
00:20:00,9.631850E-02,6.678360E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.629363E+03,2.454835E-01,2.346119E+03,2.451710E+03,2.219591E-01,7.889864E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.235162E+03,1.870406E-01,1.789108E+03,1.822403E+03,1.324830E-01,4.695822E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.327143E+02,1.049562E-01,9.944803E+02,1.006441E+03,2.201847E-01,7.856182E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.235162E+03,1.792053E-01,1.701802E+03,1.725536E+03,1.318969E-01,4.684695E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.327143E+02,1.316226E-01,1.291630E+03,1.321378E+03
00:30:00,9.631851E-02,6.678360E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.637214E+03,2.443199E-01,2.325285E+03,2.430162E+03,2.219592E-01,7.889865E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.241114E+03,1.848455E-01,1.758688E+03,1.790451E+03,1.324831E-01,4.695823E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.362449E+02,1.038342E-01,9.784413E+02,9.895504E+02,2.201847E-01,7.856183E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.241114E+03,1.767788E-01,1.668802E+03,1.691061E+03,1.318969E-01,4.684696E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.362449E+02,1.290386E-01,1.259300E+03,1.287721E+03
00:40:00,9.631852E-02,6.678360E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.645065E+03,2.432333E-01,2.305310E+03,2.409502E+03,2.219592E-01,7.889865E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.247066E+03,1.827499E-01,1.729375E+03,1.759600E+03,1.324831E-01,4.695823E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.397756E+02,1.027659E-01,9.630021E+02,9.732651E+02,2.201848E-01,7.856183E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.247066E+03,1.745185E-01,1.637656E+03,1.658438E+03,1.318969E-01,4.684696E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.397756E+02,1.266419E-01,1.229056E+03,1.256156E+03
00:50:00,9.631852E-02,6.678360E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.652916E+03,2.421909E-01,2.285828E+03,2.389301E+03,2.219592E-01,7.889866E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.253018E+03,1.807318E-01,1.700928E+03,1.729589E+03,1.324831E-01,4.695823E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.433062E+02,1.017386E-01,9.480199E+02,9.574295E+02,2.201848E-01,7.856184E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.253018E+03,1.723923E-01,1.608003E+03,1.627290E+03,1.318969E-01,4.684697E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.433062E+02,1.244032E-01,1.200574E+03,1.226360E+03
01:00:00,9.631853E-02,6.678361E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.660768E+03,2.412312E-01,2.267281E+03,2.370109E+03,2.219592E-01,7.889866E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.258969E+03,1.788111E-01,1.673572E+03,1.700709E+03,1.324831E-01,4.695824E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.468369E+02,1.007640E-01,9.336283E+02,9.422123E+02,2.201848E-01,7.856184E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.258969E+03,1.704107E-01,1.579969E+03,1.597808E+03,1.318969E-01,4.684697E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.468369E+02,1.223181E-01,1.173809E+03,1.198319E+03
01:10:00,9.631854E-02,6.678361E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.666002E+03,2.403166E-01,2.251856E+03,2.354074E+03,2.219593E-01,7.889867E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.262937E+03,1.769721E-01,1.649113E+03,1.674778E+03,1.324831E-01,4.695824E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.491906E+02,9.983290E-02,9.208994E+02,9.286932E+02,2.201848E-01,7.856185E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.262937E+03,1.685504E-01,1.555271E+03,1.571724E+03,1.318970E-01,4.684697E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.491906E+02,1.203672E-01,1.149716E+03,1.173003E+03
01:20:00,9.631855E-02,6.678361E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.671236E+03,2.394544E-01,2.237013E+03,2.338644E+03,2.219593E-01,7.889867E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.266905E+03,1.752167E-01,1.625584E+03,1.649810E+03,1.324832E-01,4.695824E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.515444E+02,9.894651E-02,9.086685E+02,9.156940E+02,2.201849E-01,7.856185E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.266905E+03,1.668069E-01,1.531875E+03,1.546983E+03,1.318970E-01,4.684698E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.515444E+02,1.185405E-01,1.127006E+03,1.149108E+03
01:30:00,9.631856E-02,6.678361E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.676470E+03,2.386377E-01,2.222679E+03,2.323737E+03,2.219593E-01,7.889868E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.270873E+03,1.735389E-01,1.602921E+03,1.625734E+03,1.324832E-01,4.695825E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.538982E+02,9.810162E-02,8.969000E+02,9.031755E+02,2.201849E-01,7.856186E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.270873E+03,1.651691E-01,1.509658E+03,1.523456E+03,1.318970E-01,4.684698E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.538982E+02,1.168257E-01,1.105545E+03,1.126495E+03
01:40:00,9.631857E-02,6.678361E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.681704E+03,2.378624E-01,2.208806E+03,2.309305E+03,2.219593E-01,7.889868E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.274841E+03,1.719348E-01,1.581079E+03,1.602512E+03,1.324832E-01,4.695825E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.562519E+02,9.729597E-02,8.855688E+02,8.911149E+02,2.201849E-01,7.856186E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.274841E+03,1.636286E-01,1.488523E+03,1.501052E+03,1.318970E-01,4.684698E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,7.562519E+02,1.152129E-01,1.085219E+03,1.105055E+03
