Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,9.888155E+02,2.880567E-01,3.479544E+03,5.514038E+03,1.038307E-01,2.948679E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.495862E+02,2.398617E-01,2.877145E+03,4.578874E+03,6.410404E-02,1.796846E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.446642E+02,1.462490E-01,1.750877E+03,2.774100E+03,1.017986E-01,2.910105E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.495862E+02,2.382196E-01,2.858849E+03,4.559118E+03,6.410404E-02,1.796846E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.446642E+02,1.554669E-01,1.853588E+03,2.883801E+03
00:20:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,9.949873E+02,2.874408E-01,3.466509E+03,5.500527E+03,1.038308E-01,2.948681E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.542648E+02,2.385242E-01,2.857563E+03,4.558132E+03,6.410411E-02,1.796848E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.474396E+02,1.453510E-01,1.738096E+03,2.760540E+03,1.017987E-01,2.910107E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.542648E+02,2.369083E-01,2.839558E+03,4.538685E+03,6.410411E-02,1.796848E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.474396E+02,1.541732E-01,1.836397E+03,2.865614E+03
00:30:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.001159E+03,2.868435E-01,3.453681E+03,5.487228E+03,1.038309E-01,2.948683E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.589434E+02,2.372244E-01,2.838402E+03,4.537825E+03,6.410418E-02,1.796849E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.502150E+02,1.444786E-01,1.725600E+03,2.747275E+03,1.017988E-01,2.910109E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.589434E+02,2.356355E-01,2.820698E+03,4.518697E+03,6.410418E-02,1.796849E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.502150E+02,1.529316E-01,1.819787E+03,2.848030E+03
00:40:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.007331E+03,2.862634E-01,3.441045E+03,5.474126E+03,1.038310E-01,2.948685E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.636221E+02,2.359606E-01,2.819641E+03,4.517934E+03,6.410424E-02,1.796850E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.529904E+02,1.436307E-01,1.713377E+03,2.734294E+03,1.017989E-01,2.910111E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.636221E+02,2.343994E-01,2.802246E+03,4.499134E+03,6.410424E-02,1.796850E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.529904E+02,1.517384E-01,1.803717E+03,2.831008E+03
00:50:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.013503E+03,2.856993E-01,3.428588E+03,5.461209E+03,1.038311E-01,2.948687E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.683007E+02,2.347311E-01,2.801264E+03,4.498445E+03,6.410430E-02,1.796851E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.557659E+02,1.428061E-01,1.701415E+03,2.721587E+03,1.017990E-01,2.910112E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.683007E+02,2.331982E-01,2.784184E+03,4.479981E+03,6.410430E-02,1.796851E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.557659E+02,1.505904E-01,1.788151E+03,2.814514E+03
01:00:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.019675E+03,2.851502E-01,3.416297E+03,5.448463E+03,1.038312E-01,2.948688E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.729793E+02,2.335346E-01,2.783253E+03,4.479347E+03,6.410435E-02,1.796852E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.585413E+02,1.420041E-01,1.689702E+03,2.709146E+03,1.017991E-01,2.910114E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.729793E+02,2.320305E-01,2.766494E+03,4.461224E+03,6.410435E-02,1.796852E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.585413E+02,1.494849E-01,1.773057E+03,2.798518E+03
01:10:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.023789E+03,2.846151E-01,3.406220E+03,5.437978E+03,1.038313E-01,2.948690E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.760984E+02,2.323767E-01,2.767232E+03,4.462315E+03,6.410440E-02,1.796853E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.603916E+02,1.412275E-01,1.679199E+03,2.697960E+03,1.017991E-01,2.910116E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.760984E+02,2.309015E-01,2.750795E+03,4.444535E+03,6.410440E-02,1.796853E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.603916E+02,1.484235E-01,1.759380E+03,2.783993E+03
01:20:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.027904E+03,2.840935E-01,3.396294E+03,5.427650E+03,1.038314E-01,2.948691E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.792175E+02,2.312567E-01,2.751633E+03,4.445730E+03,6.410445E-02,1.796854E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.622418E+02,1.404759E-01,1.668974E+03,2.687069E+03,1.017992E-01,2.910117E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.792175E+02,2.298105E-01,2.735519E+03,4.428294E+03,6.410445E-02,1.796854E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.622418E+02,1.474040E-01,1.746170E+03,2.769959E+03
01:30:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.032018E+03,2.835847E-01,3.386510E+03,5.417469E+03,1.038314E-01,2.948693E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.823366E+02,2.301738E-01,2.736449E+03,4.429574E+03,6.410450E-02,1.796855E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.640921E+02,1.397488E-01,1.659022E+03,2.676460E+03,1.017993E-01,2.910118E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.823366E+02,2.287566E-01,2.720658E+03,4.412483E+03,6.410450E-02,1.796855E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.640921E+02,1.464248E-01,1.733409E+03,2.756390E+03
01:40:00,7.774627E-02,2.765590E+03,7.774627E-02,0.000000E+00,0.000000E+00,7.774627E-02,1.036133E+03,2.830885E-01,3.376866E+03,5.407433E+03,1.038315E-01,2.948694E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.854556E+02,2.291277E-01,2.721673E+03,4.413848E+03,6.410454E-02,1.796856E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.659424E+02,1.390457E-01,1.649338E+03,2.666132E+03,1.017994E-01,2.910120E+03,5.893671E-02,0.000000E+00,0.000000E+00,5.893671E-02,7.854556E+02,2.277393E-01,2.706204E+03,4.397100E+03,6.410454E-02,1.796856E+03,3.496201E-02,0.000000E+00,0.000000E+00,3.496201E-02,4.659424E+02,1.454842E-01,1.721078E+03,2.743272E+03
