Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  06:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  07:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  08:00:00,2923570.5965399087,2043510.819381642,9211481.415921549,9211481.415921549,0.0 
 01/01  09:00:00,2909792.317314135,2043510.819381642,7008903.136695775,7008903.136695775,0.0 
 01/01  10:00:00,2778898.8068626949,2043510.819381642,6878009.6262443349,6878009.6262443349,0.0 
 01/01  11:00:00,2731345.125332476,2043510.819381642,6830455.944714118,6830455.944714118,0.0 
 01/01  12:00:00,2580080.315008998,2043510.819381642,6679191.134390638,6679191.134390638,0.0 
 01/01  13:00:00,2687779.3620319787,2043510.819381642,6786890.181413619,6786890.181413618,0.0 
 01/01  14:00:00,2730528.089945878,2043510.819381642,6829638.909327518,6829638.909327516,0.0 
 01/01  15:00:00,2721879.980523117,2043510.819381642,6820990.799904757,6820990.799904756,0.0 
 01/01  16:00:00,2836989.0835789598,2043510.819381642,6936099.902960599,6936099.902960599,0.0 
 01/01  17:00:00,2923570.5965399087,2043510.819381642,7022681.415921549,7022681.415921548,0.0 
 01/01  18:00:00,2923570.5965399087,2043510.819381642,8664281.415921549,8664281.415921549,0.0 
 01/01  19:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/02  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 01/02  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 01/02  07:00:00,2901503.2420463429,5985552.087175781,36837984.69257243,36837984.69257243,4125423.1629766437 
 01/02  08:00:00,5298397.224606365,5985552.087175781,36995239.153806138,36995239.153806138,608108.1470926325 
 01/02  09:00:00,11246692.237021439,11971104.174351562,37808781.633558537,37808781.63355853,0.0 
 01/02  10:00:00,10651273.258967445,11971104.174351562,34491618.37769633,34491618.37769632,0.0 
 01/02  11:00:00,10158452.369613216,11971104.174351562,32218133.830506106,32218133.8305061,0.0 
 01/02  12:00:00,9811819.054472585,11971104.174351562,30400654.660602284,30400654.66060227,0.0 
