Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.016560E+03,2.785038E-01,3.301211E+03,4.881587E+03,1.843705E-01,5.066240E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.706183E+02,2.290231E-01,2.701893E+03,4.039117E+03,1.141130E-01,3.095388E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.571407E+02,1.404910E-01,1.654401E+03,2.460814E+03,1.830818E-01,5.041777E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.706183E+02,2.296057E-01,2.708385E+03,4.046006E+03,1.152803E-01,3.117547E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.571407E+02,1.498553E-01,1.758742E+03,2.572540E+03
00:20:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.023722E+03,2.777672E-01,3.285841E+03,4.865655E+03,1.843708E-01,5.066246E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.760472E+02,2.274379E-01,2.678802E+03,4.014587E+03,1.141132E-01,3.095391E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.603612E+02,1.394332E-01,1.639394E+03,2.444854E+03,1.830821E-01,5.041782E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.760472E+02,2.279834E-01,2.684880E+03,4.021048E+03,1.152805E-01,3.117551E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.603612E+02,1.483633E-01,1.738897E+03,2.551498E+03
00:30:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.030883E+03,2.770556E-01,3.270750E+03,4.850011E+03,1.843711E-01,5.066252E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.814761E+02,2.259011E-01,2.656249E+03,3.990614E+03,1.141134E-01,3.095395E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.635817E+02,1.384079E-01,1.624749E+03,2.429268E+03,1.830824E-01,5.041788E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.814761E+02,2.264149E-01,2.661975E+03,3.996713E+03,1.152807E-01,3.117555E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.635817E+02,1.469353E-01,1.719765E+03,2.531198E+03
00:40:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.038045E+03,2.763669E-01,3.255915E+03,4.834631E+03,1.843714E-01,5.066257E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.869050E+02,2.244102E-01,2.634208E+03,3.967174E+03,1.141136E-01,3.095399E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.668022E+02,1.374135E-01,1.610448E+03,2.414039E+03,1.830827E-01,5.041793E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.869050E+02,2.248973E-01,2.639636E+03,3.972967E+03,1.152809E-01,3.117558E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.668022E+02,1.455666E-01,1.701294E+03,2.511588E+03
00:50:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.045206E+03,2.756996E-01,3.241318E+03,4.819494E+03,1.843717E-01,5.066262E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.923339E+02,2.229631E-01,2.612655E+03,3.944245E+03,1.141137E-01,3.095402E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.700227E+02,1.364484E-01,1.596474E+03,2.399155E+03,1.830830E-01,5.041798E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.923339E+02,2.234278E-01,2.617834E+03,3.949786E+03,1.152811E-01,3.117561E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.700227E+02,1.442531E-01,1.683438E+03,2.492621E+03
01:00:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.052368E+03,2.750520E-01,3.226939E+03,4.804583E+03,1.843719E-01,5.066266E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.977628E+02,2.215577E-01,2.591566E+03,3.921811E+03,1.141139E-01,3.095405E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.732432E+02,1.355114E-01,1.582813E+03,2.384602E+03,1.830832E-01,5.041803E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,7.977628E+02,2.220041E-01,2.596541E+03,3.927146E+03,1.152812E-01,3.117565E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.732432E+02,1.429910E-01,1.666155E+03,2.474258E+03
01:10:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.057142E+03,2.744227E-01,3.215153E+03,4.792318E+03,1.843721E-01,5.066271E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.013821E+02,2.202002E-01,2.572822E+03,3.901809E+03,1.141141E-01,3.095408E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.753902E+02,1.346060E-01,1.570578E+03,2.371530E+03,1.830834E-01,5.041807E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.013821E+02,2.206320E-01,2.577633E+03,3.906982E+03,1.152814E-01,3.117568E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.753902E+02,1.417820E-01,1.650536E+03,2.457623E+03
01:20:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.061916E+03,2.738107E-01,3.203560E+03,4.780253E+03,1.843724E-01,5.066275E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.050014E+02,2.188894E-01,2.554597E+03,3.882358E+03,1.141142E-01,3.095411E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.775372E+02,1.337313E-01,1.558685E+03,2.358819E+03,1.830837E-01,5.041811E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.050014E+02,2.193098E-01,2.559281E+03,3.887408E+03,1.152815E-01,3.117571E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.775372E+02,1.406231E-01,1.635476E+03,2.441576E+03
01:30:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.066691E+03,2.732151E-01,3.192149E+03,4.768376E+03,1.843726E-01,5.066279E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.086206E+02,2.176241E-01,2.536880E+03,3.863435E+03,1.141144E-01,3.095414E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.796842E+02,1.328866E-01,1.547126E+03,2.346455E+03,1.830839E-01,5.041815E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.086206E+02,2.180362E-01,2.541471E+03,3.868397E+03,1.152817E-01,3.117573E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.796842E+02,1.395120E-01,1.620950E+03,2.426083E+03
01:40:00,7.502001E-02,3.490302E+03,7.502001E-02,0.000000E+00,0.000000E+00,7.502001E-02,1.071465E+03,2.726353E-01,3.180913E+03,4.756680E+03,1.843728E-01,5.066283E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.122399E+02,2.164036E-01,2.519661E+03,3.845036E+03,1.141145E-01,3.095416E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.818312E+02,1.320713E-01,1.535895E+03,2.334434E+03,1.830841E-01,5.041819E+03,5.687003E-02,0.000000E+00,0.000000E+00,5.687003E-02,8.122399E+02,2.168100E-01,2.524189E+03,3.849942E+03,1.152818E-01,3.117576E+03,3.373603E-02,0.000000E+00,0.000000E+00,3.373603E-02,4.818312E+02,1.384467E-01,1.606932E+03,2.411123E+03
