Time,CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.011798E+03,2.626634E+03,5.252722E-02,2.320865E-01,2.959727E+03,2.159880E+03,1.536421E-01,1.908525E-01,1.831884E+03,1.324946E+03,9.509415E-02,1.170758E-01,2.939039E+03,2.165376E+03,1.525682E-01,1.913381E-01,1.850624E+03,1.413264E+03,9.606692E-02,1.248794E-01
00:20:00,1.011799E+03,2.619686E+03,5.252731E-02,2.314727E-01,2.959732E+03,2.144930E+03,1.536424E-01,1.895316E-01,1.831888E+03,1.314970E+03,9.509432E-02,1.161944E-01,2.939044E+03,2.150075E+03,1.525684E-01,1.899862E-01,1.850627E+03,1.399192E+03,9.606709E-02,1.236361E-01
00:30:00,1.011801E+03,2.612974E+03,5.252739E-02,2.308796E-01,2.959736E+03,2.130436E+03,1.536426E-01,1.882509E-01,1.831891E+03,1.305300E+03,9.509448E-02,1.153399E-01,2.939049E+03,2.135283E+03,1.525687E-01,1.886791E-01,1.850630E+03,1.385724E+03,9.606725E-02,1.224461E-01
00:40:00,1.011803E+03,2.606479E+03,5.252746E-02,2.303058E-01,2.959741E+03,2.116375E+03,1.536428E-01,1.870085E-01,1.831894E+03,1.295921E+03,9.509463E-02,1.145112E-01,2.939053E+03,2.120970E+03,1.525689E-01,1.874144E-01,1.850633E+03,1.372816E+03,9.606740E-02,1.213055E-01
00:50:00,1.011804E+03,2.600185E+03,5.252754E-02,2.297497E-01,2.959745E+03,2.102727E+03,1.536431E-01,1.858025E-01,1.831897E+03,1.286819E+03,9.509478E-02,1.137070E-01,2.939057E+03,2.107111E+03,1.525691E-01,1.861899E-01,1.850636E+03,1.360428E+03,9.606755E-02,1.202109E-01
01:00:00,1.011805E+03,2.594077E+03,5.252761E-02,2.292100E-01,2.959749E+03,2.089472E+03,1.536433E-01,1.846314E-01,1.831899E+03,1.277982E+03,9.509492E-02,1.129261E-01,2.939061E+03,2.093683E+03,1.525693E-01,1.850034E-01,1.850639E+03,1.348525E+03,9.606769E-02,1.191592E-01
01:10:00,1.011807E+03,2.588142E+03,5.252767E-02,2.286856E-01,2.959753E+03,2.076670E+03,1.536435E-01,1.835002E-01,1.831902E+03,1.269443E+03,9.509505E-02,1.121716E-01,2.939065E+03,2.080742E+03,1.525695E-01,1.838600E-01,1.850641E+03,1.337122E+03,9.606782E-02,1.181516E-01
01:20:00,1.011808E+03,2.582369E+03,5.252774E-02,2.281756E-01,2.959756E+03,2.064307E+03,1.536436E-01,1.824078E-01,1.831904E+03,1.261194E+03,9.509518E-02,1.114427E-01,2.939068E+03,2.068272E+03,1.525697E-01,1.827581E-01,1.850644E+03,1.326192E+03,9.606795E-02,1.171859E-01
01:30:00,1.011809E+03,2.576752E+03,5.252780E-02,2.276793E-01,2.959760E+03,2.052374E+03,1.536438E-01,1.813534E-01,1.831907E+03,1.253227E+03,9.509530E-02,1.107388E-01,2.939072E+03,2.056260E+03,1.525699E-01,1.816968E-01,1.850646E+03,1.315714E+03,9.606807E-02,1.162600E-01
01:40:00,1.011810E+03,2.571283E+03,5.252785E-02,2.271961E-01,2.959763E+03,2.040863E+03,1.536440E-01,1.803364E-01,1.831909E+03,1.245537E+03,9.509542E-02,1.100594E-01,2.939075E+03,2.044696E+03,1.525701E-01,1.806750E-01,1.850648E+03,1.305666E+03,9.606819E-02,1.153723E-01
