Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  06:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 01/01  07:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  08:00:00,2788317.772972195,2043510.819381642,7434628.592353835,7434628.592353835,0.0 
 01/01  09:00:00,2644340.7593583066,2043510.819381642,6743451.578739948,6743451.578739948,0.0 
 01/01  10:00:00,2644340.7593583066,2043510.819381642,6743451.578739948,6743451.578739948,0.0 
 01/01  11:00:00,2652700.0064445824,2043510.819381642,6751810.825826223,6751810.825826223,0.0 
 01/01  12:00:00,2704038.05832492,2043510.819381642,6803148.877706561,6803148.87770656,0.0 
 01/01  13:00:00,2672286.007863497,2043510.819381642,6771396.827245138,6771396.827245138,0.0 
 01/01  14:00:00,2640245.09506559,2043510.819381642,6739355.914447229,6739355.914447229,0.0 
 01/01  15:00:00,2560379.4530903587,2043510.819381642,6659490.272472,6659490.272472,0.0 
 01/01  16:00:00,2584048.512045526,2043510.819381642,6683159.331427166,6683159.331427166,0.0 
 01/01  17:00:00,2751849.171887511,2043510.819381642,6850959.991269152,6850959.991269152,0.0 
 01/01  18:00:00,2923570.5965399087,2043510.819381642,7569881.415921549,7569881.415921548,0.0 
 01/01  19:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/01  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 01/02  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 01/02  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 01/02  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 01/02  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 01/02  05:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 01/02  06:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 01/02  07:00:00,2901503.2420463429,5985552.087175781,24028330.46667856,24028330.466678557,0.0 
 01/02  08:00:00,5085927.310153305,5985552.087175781,24556632.444657349,24556632.44465734,0.0 
 01/02  09:00:00,9921325.25523212,11971104.174351562,40026743.96005346,40026743.96005346,0.0 
 01/02  10:00:00,9747329.297086344,11971104.174351562,40958041.342389699,40958041.342389699,0.0 
 01/02  11:00:00,9586805.144955183,11971104.174351562,41669756.494843009,41669756.494843009,0.0 
 01/02  12:00:00,9635315.067157278,11971104.174351562,42311754.399816017,42311754.399816017,0.0 
