Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.070513E+03,2.862003E-01,3.378057E+03,4.981730E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.115184E+02,2.318629E-01,2.726720E+03,4.162024E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.814032E+02,1.424084E-01,1.671716E+03,2.542839E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.115184E+02,2.324944E-01,2.733756E+03,4.169775E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.814032E+02,1.536722E-01,1.797219E+03,2.679488E+03
00:20:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.076064E+03,2.855991E-01,3.365807E+03,4.969032E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.157263E+02,2.305472E-01,2.707852E+03,4.141694E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.838993E+02,1.415419E-01,1.659566E+03,2.529717E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.157263E+02,2.311791E-01,2.714893E+03,4.149467E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.838993E+02,1.522544E-01,1.778927E+03,2.659801E+03
00:30:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.081615E+03,2.850170E-01,3.353769E+03,4.956553E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.199341E+02,2.292693E-01,2.689406E+03,4.121805E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.863955E+02,1.407002E-01,1.647692E+03,2.516884E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.199341E+02,2.299041E-01,2.696479E+03,4.129630E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.863955E+02,1.508972E-01,1.761308E+03,2.640822E+03
00:40:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.087166E+03,2.844526E-01,3.341929E+03,4.944276E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.241419E+02,2.280277E-01,2.671365E+03,4.102342E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.888916E+02,1.398822E-01,1.636081E+03,2.504328E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.241419E+02,2.286676E-01,2.678494E+03,4.110243E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.888916E+02,1.495963E-01,1.744317E+03,2.622505E+03
00:50:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.092716E+03,2.839045E-01,3.330272E+03,4.932188E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.283498E+02,2.268208E-01,2.653710E+03,4.083292E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.913877E+02,1.390867E-01,1.624722E+03,2.492041E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.283498E+02,2.274675E-01,2.660914E+03,4.091290E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.913877E+02,1.483477E-01,1.727909E+03,2.604808E+03
01:00:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.098267E+03,2.833718E-01,3.318785E+03,4.920275E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.325576E+02,2.256472E-01,2.636425E+03,4.064642E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.938839E+02,1.383130E-01,1.613605E+03,2.480016E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.325576E+02,2.263022E-01,2.643723E+03,4.072757E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.938839E+02,1.471481E-01,1.712047E+03,2.587693E+03
01:10:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.101968E+03,2.828534E-01,3.309308E+03,4.910413E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.353628E+02,2.245136E-01,2.620989E+03,4.047929E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.955480E+02,1.375652E-01,1.603609E+03,2.469168E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.353628E+02,2.251784E-01,2.628396E+03,4.056178E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.955480E+02,1.459994E-01,1.697584E+03,2.572048E+03
01:20:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.105668E+03,2.823485E-01,3.299982E+03,4.900707E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.381680E+02,2.234191E-01,2.605989E+03,4.031685E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.972121E+02,1.368428E-01,1.593896E+03,2.458622E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.381680E+02,2.240951E-01,2.613521E+03,4.040084E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.972121E+02,1.448990E-01,1.683659E+03,2.556974E+03
01:30:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.109369E+03,2.818566E-01,3.290799E+03,4.891150E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.409732E+02,2.223631E-01,2.591418E+03,4.015893E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.988761E+02,1.361453E-01,1.584461E+03,2.448369E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.409732E+02,2.230514E-01,2.599087E+03,4.024455E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,4.988761E+02,1.438447E-01,1.670248E+03,2.542440E+03
01:40:00,7.780160E-02,1.860675E+03,7.780160E-02,2.658107E+02,8.642860E+02,7.780160E-02,1.113069E+03,2.813770E-01,3.281755E+03,4.881736E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.437785E+02,2.213450E-01,2.577268E+03,4.000549E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,5.005402E+02,1.354724E-01,1.575298E+03,2.438406E+03,5.897865E-02,1.410512E+03,5.897865E-02,2.015017E+02,6.551847E+02,5.897865E-02,8.437785E+02,2.220465E-01,2.585085E+03,4.009287E+03,3.498689E-02,8.367338E+02,3.498689E-02,1.195334E+02,3.886640E+02,3.498689E-02,5.005402E+02,1.428345E-01,1.657328E+03,2.528428E+03
