Time,CORE_ZN:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:HONOLULU INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.673892E+02,2.699230E+03,8.689966E-03,2.385003E-01,5.556330E+02,2.186601E+03,2.884595E-02,1.932191E-01,3.401128E+02,1.342987E+03,1.765714E-02,1.186736E-01,5.344189E+02,2.192557E+03,2.774461E-02,1.937453E-01,3.372050E+02,1.449217E+03,1.750618E-02,1.280601E-01
00:20:00,1.673887E+02,2.693560E+03,8.689943E-03,2.379993E-01,5.556295E+02,2.174193E+03,2.884577E-02,1.921226E-01,3.401106E+02,1.334815E+03,1.765703E-02,1.179516E-01,5.344155E+02,2.180152E+03,2.774443E-02,1.926492E-01,3.372028E+02,1.435846E+03,1.750607E-02,1.268787E-01
00:30:00,1.673883E+02,2.688069E+03,8.689919E-03,2.375141E-01,5.556262E+02,2.162141E+03,2.884560E-02,1.910578E-01,3.401084E+02,1.326877E+03,1.765692E-02,1.172502E-01,5.344122E+02,2.168128E+03,2.774426E-02,1.915868E-01,3.372006E+02,1.423046E+03,1.750596E-02,1.257477E-01
00:40:00,1.673878E+02,2.682746E+03,8.689896E-03,2.370438E-01,5.556230E+02,2.150432E+03,2.884544E-02,1.900231E-01,3.401064E+02,1.319162E+03,1.765681E-02,1.165685E-01,5.344090E+02,2.156466E+03,2.774410E-02,1.905563E-01,3.371986E+02,1.410777E+03,1.750586E-02,1.246635E-01
00:50:00,1.673874E+02,2.677577E+03,8.689873E-03,2.365871E-01,5.556199E+02,2.139050E+03,2.884528E-02,1.890174E-01,3.401044E+02,1.311661E+03,1.765671E-02,1.159056E-01,5.344059E+02,2.145148E+03,2.774394E-02,1.895562E-01,3.371966E+02,1.399002E+03,1.750575E-02,1.236231E-01
01:00:00,1.673870E+02,2.672553E+03,8.689851E-03,2.361432E-01,5.556170E+02,2.127981E+03,2.884513E-02,1.880393E-01,3.401025E+02,1.304364E+03,1.765662E-02,1.152608E-01,5.344030E+02,2.134159E+03,2.774379E-02,1.885852E-01,3.371947E+02,1.387689E+03,1.750566E-02,1.226235E-01
01:10:00,1.673867E+02,2.667663E+03,8.689836E-03,2.357112E-01,5.556142E+02,2.117290E+03,2.884499E-02,1.870946E-01,3.401007E+02,1.297312E+03,1.765653E-02,1.146377E-01,5.344002E+02,2.123560E+03,2.774365E-02,1.876487E-01,3.371930E+02,1.376855E+03,1.750557E-02,1.216662E-01
01:20:00,1.673864E+02,2.662901E+03,8.689822E-03,2.352904E-01,5.556115E+02,2.106968E+03,2.884485E-02,1.861826E-01,3.400990E+02,1.290499E+03,1.765644E-02,1.140357E-01,5.343975E+02,2.113343E+03,2.774351E-02,1.867459E-01,3.371912E+02,1.366477E+03,1.750548E-02,1.207492E-01
01:30:00,1.673861E+02,2.658261E+03,8.689809E-03,2.348805E-01,5.556089E+02,2.097009E+03,2.884472E-02,1.853026E-01,3.400974E+02,1.283921E+03,1.765635E-02,1.134545E-01,5.343949E+02,2.103500E+03,2.774338E-02,1.858762E-01,3.371896E+02,1.356534E+03,1.750539E-02,1.198706E-01
01:40:00,1.673859E+02,2.653738E+03,8.689795E-03,2.344808E-01,5.556064E+02,2.087407E+03,2.884459E-02,1.844541E-01,3.400958E+02,1.277574E+03,1.765627E-02,1.128936E-01,5.343924E+02,2.094023E+03,2.774325E-02,1.850387E-01,3.371880E+02,1.347007E+03,1.750531E-02,1.190288E-01
